City,Temperature_Max,Latitude,Longitude,Humidity %,Cloudiness %,Wind Speed
Ushuaia,8.0,-54.8,-68.3,81,75,9.3
Rikitea,25.9,-23.12,-134.97,75,100,4.06
Gwanda,18.1,-20.93,29.0,77,90,1.1
Dikson,-12.6,73.51,80.55,92,0,3.74
Itacoatiara,23.0,-3.14,-58.44,100,71,1.04
New Norfolk,18.89,-42.78,147.06,48,20,4.1
Porto-Novo,27.0,6.5,2.6,88,20,3.1
Puerto Ayora,25.56,-0.74,-90.35,82,93,2.24
Carnarvon,37.0,-24.87,113.63,20,0,6.7
Abhā,13.0,18.22,42.51,87,20,2.1
Drovyanaya,5.0,51.58,113.03,18,40,5.0
Port Elizabeth,19.0,-33.92,25.57,72,75,5.7
Hobart,18.89,-42.88,147.33,48,20,4.1
Saint-Philippe,26.0,-21.36,55.77,83,75,3.1
Lebu,14.5,-37.62,-73.65,98,95,2.86
Busselton,28.33,-33.65,115.33,29,89,2.7
Vangaindrano,20.7,-23.35,47.6,88,31,1.48
Bo Rai,29.44,12.57,102.54,83,75,1.5
Punta Arenas,9.0,-53.15,-70.92,81,68,9.8
Al Bardīyah,15.5,31.76,25.09,86,3,5.87
Kruisfontein,15.6,-34.0,24.73,96,100,2.15
Briceño,13.3,7.11,-75.55,94,49,1.16
Cabo San Lucas,23.0,22.89,-109.91,40,5,2.1
East London,23.1,-33.02,27.91,89,90,5.4
Pangnirtung,-14.3,66.15,-65.71,95,100,1.59
Atuona,28.1,-9.8,-139.03,77,38,4.73
Manthani,27.4,18.65,79.67,54,0,4.35
Cape Town,18.89,-33.93,18.42,82,73,5.7
Makakilo City,26.0,21.35,-158.09,68,90,4.1
Albany,0.56,42.6,-73.97,100,90,3.6
Barrow,-13.0,71.29,-156.79,78,90,2.6
Avarua,29.0,-21.21,-159.78,79,100,4.1
São Félix do Xingu,22.5,-6.64,-51.99,97,100,0.47
Necochea,20.56,-38.55,-58.74,67,100,4.92
Ilulissat,-11.0,69.22,-51.1,61,100,6.7
Qandala,26.7,11.47,49.87,72,41,2.31
Mar del Plata,20.56,-38.0,-57.56,88,100,4.1
Goya,23.1,-29.14,-59.26,44,0,2.6
Mikhaylovskoye,-12.0,51.82,79.72,93,0,3.11
Chui,21.0,-33.7,-53.46,83,0,5.71
Korla,6.0,41.76,86.15,24,69,2.63
Plettenberg Bay,16.7,-34.05,23.37,90,81,1.47
De Aar,19.1,-30.65,24.01,43,44,2.97
Chuarrancho,20.0,14.82,-90.51,49,0,7.2
Vardø,0.5,70.37,31.11,82,94,15.59
Lárdos,12.22,36.09,28.02,76,20,1.5
Hong Kong,24.44,22.29,114.16,69,20,7.2
